months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital.gains,capital.loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported
86,31,593611,1997-02-05,IL,100/300,500,1315.71,0.0,609337,FEMALE,PhD,other-service,golf,own-child,0,7652,2015-01-30,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Arlington,4872 Rock Ridge,16,1,NO,0,0,YES,3200.0,0,5910,23330,Toyota,Camry,2010,N
148,33,493496,2009-04-19,IN,500/1000,2000,524.62,0.0,437464,FEMALE,JD,protective-serv,hiking,own-child,0,39356,2015-02-15,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,VA,Columbus,6435 Texas Ave,11,5,?,2,2,YES,76300.0,12650,6520,44280,Jeep,Grand Cherokee,2001,N
65,40,847053,2008-03-16,IN,250/500,2000,1670.79,3000000.0,455949,MALE,High School,other-service,movies,not-in-family,0,0,2015-01-05,Parked Car,?,Minor Damage,,NY,Hillsdale,8749 Tree St,19,1,NO,2,1,NO,38400.0,5800,1950,7000,Jeep,Wrangler,2015,N
376,32,466832,2009-12-11,IL,500/1000,2000,975.85,1000000.0,575742,MALE,PhD,handlers-cleaners,camping,unmarried,0,17202,2015-02-15,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,OH,Northbend,7570 Cherokee Drive,11,1,YES,1,2,YES,65000.0,6630,6860,48200,Suburu,Forrestor,1998,N
281,40,1105873,1995-12-07,IL,100/300,1000,1292.64,1000000.0,500890,FEMALE,Associate,other-service,camping,wife,74246,0,2015-02-19,Parked Car,?,Minor Damage,,NY,Hillsdale,1365 Francis Ave,3,1,NO,0,1,NO,16900.0,2260,0,45940,Audi,A3,2007,N
257,46,290111,2002-02-10,OH,250/500,500,1267.6,2000000.0,644414,MALE,PhD,adm-clerical,sleeping,unmarried,56718,0,2015-01-27,Parked Car,?,Minor Damage,,NC,Northbend,4431 Rock St,1,1,NO,2,4,YES,5200.0,0,0,15570,Chevrolet,Tahoe,2011,N
350,37,68341,1991-11-20,OH,250/500,2000,1110.49,0.0,484980,MALE,Masters,exec-managerial,camping,unmarried,0,0,2015-01-06,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,OH,Riverwood,4972 Francis Lane,17,1,?,2,4,YES,19300.0,6750,12700,11040,Chevrolet,Silverado,1999,N
333,61,65354,1996-10-18,OH,500/1000,500,1817.48,10000000.0,458148,FEMALE,MD,priv-house-serv,board-games,unmarried,9982,40192,2015-01-07,Single Vehicle Collision,Side Collision,Total Loss,Other,NC,Hillsdale,9070 Tree Ave,17,2,YES,0,1,?,101730.0,8500,22610,82610,Jeep,Wrangler,1997,N
174,37,616255,2000-03-04,IN,500/1000,2000,1338.31,0.0,518406,MALE,College,other-service,sleeping,own-child,5790,2790,2015-01-31,Vehicle Theft,?,Trivial Damage,Police,WV,Arlington,9794 Embaracadero St,10,1,?,2,3,YES,7550.0,230,0,30960,Ford,F150,2008,N
195,29,375005,2001-05-08,IL,100/300,2000,1237.63,0.0,475951,MALE,Masters,handlers-cleaners,camping,other-relative,0,22802,2015-01-03,Single Vehicle Collision,Front Collision,Minor Damage,Other,SC,Arlington,5455 Oak Hwy,9,2,?,0,2,NO,92400.0,9020,10900,61550,BMW,3 Series,1998,N
